,,,,,Score,,Cost,,,,,,Demographics,,,,,,Teach./Student,,Overall,,,,
2011,4th Math,8th Math,4th Reading,8th Reading,Total,Score Rank,PPF,PPF Rank,$ per point,White,Black,Hispanic,Asian,Nat. Am.,IEP,ELL,At-Risk,Charter %,Ratio,% College,Tax Rate,% Cremated,Starting Sal.,Average Sal.,10-yr incr.
Alabama,231,269,220,258,978,45,"$8,996",37,$9.20,58.7%,35.0%,4.3%,1.3%,0.8%,11.1%,2.6%,54.9%,0.0%,15.8,31.6%,8.5%,7.05%,"$31,368 ","$40,347 ",28.9%
Alaska,236,283,208,261,988,40,"$15,310",4,$15.50,53.2%,3.8%,5.8%,8.0%,23.0%,13.6%,11.1%,36.2%,4.8%,16.3,36.3%,6.3%,55.47%,"$38,657 ","$53,553 ",7.9%
Arizona,235,279,212,260,986,42,"$7,931",48,$8.04,44.1%,6.0%,41.4%,3.1%,5.5%,11.7%,7.8%,46.6%,24.6%,20.7,34.4%,8.7%,57.39%,"$30,404 ","$44,672 ",37.5%
Arkansas,238,279,217,259,993,37,"$8,853",40,$8.92,65.3%,21.9%,9.2%,1.8%,0.7%,13.5%,6.2%,59.6%,3.3%,12.9,26.5%,9.9%,16.78%,"$28,784 ","$42,768 ",44.8%
California,234,273,211,255,973,47,"$9,471",34,$9.73,27.0%,6.9%,50.4%,11.6%,0.7%,10.7%,28.7%,54.9%,8.2%,19.8,38.6%,10.6%,52.61%,"$35,760 ","$59,825 ",41.6%
Colorado,244,292,223,271,1030,10,"$8,963",38,$8.70,60.6%,5.9%,28.6%,3.7%,1.2%,10.1%,11.4%,38.4%,8.7%,17.0,45.3%,8.6%,52.98%,"$35,086 ","$44,439 ",25.7%
Connecticut,242,287,227,275,1031,9,"$15,260",5,$14.80,63.7%,13.9%,17.6%,4.4%,0.4%,12.2%,5.3%,31.9%,1.5%,12.9,46.6%,12.0%,33.93%,"$39,259 ","$59,304 ",18.0%
D.C.,222,260,201,242,925,51,"$17,251",2,$18.65,6.7%,80.2%,11.5%,1.6%,0.1%,16.3%,8.5%,69.8%,41.6%,11.9,47.1%,9.6%,29.70%,"$35,854 ","$54,264 ",33.9%
Delaware,240,283,225,266,1014,24,"$12,390",12,$12.22,51.6%,33.3%,11.3%,3.5%,0.4%,15.3%,6.1%,46.8%,8.9%,14.7,37.0%,9.2%,49.40%,"$33,427 ","$43,302 ",29.9%
Florida,240,278,225,262,1005,33,"$8,747",42,$8.70,45.9%,23.9%,27.2%,2.7%,0.4%,14.2%,8.8%,53.5%,10.5%,14.3,36.8%,9.1%,18.47%,"$34,442 ","$48,300 ",42.1%
Georgia,238,278,221,262,999,36,"$9,685",31,$9.69,45.0%,37.4%,11.3%,3.3%,0.3%,10.6%,5.2%,56.1%,2.4%,14.4,36.2%,9.6%,62.97%,"$35,816 ","$49,292 ",37.7%
Hawaii,239,278,214,257,988,40,"$12,370",13,$12.52,19.7%,2.3%,4.6%,72.7%,0.6%,11.1%,10.0%,43.3%,10.7%,15.7,42.3%,9.4%,41.51%,"$27,500 ","$41,150 ",33.2%
Idaho,240,287,221,268,1016,21,"$7,194",50,$7.08,80.4%,1.2%,15.0%,1.8%,1.7%,10.1%,5.8%,43.0%,4.8%,18.2,34.8%,10.0%,22.24%,"$37,500 ","$58,686 ",43.4%
Illinois,239,283,219,266,1007,31,"$11,120",17,$11.04,54.2%,19.5%,21.7%,4.3%,0.2%,14.9%,8.5%,43.0%,0.9%,15.2,40.8%,9.5%,17.31%,"$30,844 ","$47,255 ",25.4%
Indiana,244,285,221,265,1015,22,"$9,248",36,$9.11,77.8%,12.8%,7.4%,1.7%,0.3%,16.4%,4.7%,45.3%,2.7%,16.8,33.4%,9.5%,19.18%,"$27,284 ","$41,083 ",26.9%
Iowa,243,285,221,265,1014,24,"$10,010",27,$9.87,82.2%,5.1%,8.1%,2.1%,0.5%,13.6%,4.2%,37.3%,0.6%,13.7,38.8%,9.7%,22.59%,"$27,840 ","$41,467 ",28.1%
Kansas,246,290,224,267,1027,11,"$10,261",24,$9.99,68.8%,7.7%,15.7%,2.5%,1.2%,14.0%,8.0%,45.7%,2.4%,13.7,40.5%,9.3%,10.20%,"$30,619 ","$42,592 ",28.8%
Kentucky,241,282,225,269,1017,20,"$8,836",41,$8.69,84.3%,11.0%,3.3%,1.3%,0.1%,15.6%,2.1%,54.7%,0.0%,16.2,29.2%,8.2%,12.98%,"$31,298 ","$40,029 ",45.4%
Louisiana,231,273,210,255,969,49,"$10,684",22,$11.03,48.5%,46.0%,3.2%,1.5%,0.8%,12.3%,1.9%,65.8%,4.6%,13.9,27.0%,10.1%,49.99%,"$26,643 ","$40,737 ",23.9%
Maine,244,289,222,270,1025,15,"$11,977",15,$11.68,93.4%,2.9%,1.2%,1.7%,0.7%,15.8%,2.4%,41.6%,0.0%,11.6,36.8%,10.0%,26.27%,"$37,125 ","$54,333 ",32.0%
Maryland,247,288,231,271,1037,5,"$13,706",10,$13.22,45.5%,37.9%,10.0%,6.1%,0.4%,12.1%,5.1%,38.3%,2.9%,14.5,43.9%,10.0%,25.72%,"$35,421 ","$56,369 ",35.0%
Massachusetts,253,299,237,275,1064,1,"$14,478",9,$13.61,69.1%,8.2%,14.8%,5.4%,0.3%,17.5%,5.4%,32.9%,3.3%,13.7,49.6%,9.7%,33.72%,"$35,557 ","$54,739 ",16.9%
Michigan,236,280,219,265,1000,34,"$10,171",25,$10.17,71.1%,20.3%,4.9%,2.7%,0.9%,13.9%,3.6%,45.9%,7.0%,17.8,35.6%,10.3%,34.80%,"$31,532 ","$48,489 ",31.3%
Minnesota,249,295,222,270,1036,6,"$11,067",18,$10.68,75.0%,9.7%,6.7%,6.3%,2.2%,14.5%,7.3%,35.5%,7.3%,15.8,45.0%,8.7%,7.72%,"$28,200 ","$40,576 ",46.5%
Mississippi,230,269,209,254,962,50,"$8,028",47,$8.35,46.1%,50.1%,2.2%,0.9%,0.2%,12.9%,1.2%,70.7%,0.1%,14.9,29.3%,9.0%,20.02%,"$29,281 ","$40,462 ",25.2%
Missouri,240,282,220,267,1009,30,"$9,868",28,$9.78,75.7%,17.8%,4.1%,2.0%,0.5%,14.2%,2.2%,43.8%,2.0%,13.5,34.9%,8.7%,54.89%,"$25,318 ","$39,832 ",35.6%
Montana,244,293,225,273,1035,7,"$10,092",26,$9.75,83.1%,1.1%,2.8%,1.2%,11.8%,12.1%,2.7%,39.6%,0.0%,13.5,37.6%,9.8%,23.18%,"$29,303 ","$40,382 ",28.2%
Nebraska,240,283,223,268,1014,24,"$10,860",20,$10.71,73.8%,8.0%,14.3%,2.2%,1.7%,14.7%,6.5%,41.3%,0.0%,13.3,40.5%,7.5%,61.53%,"$27,957 ","$44,426 ",22.8%
Nevada,237,278,213,258,986,42,"$8,398",45,$8.52,41.4%,11.4%,37.5%,8.2%,1.5%,11.2%,15.8%,42.4%,5.4%,19.4,30.1%,8.0%,49.14%,"$28,279 ","$45,263 ",26.5%
New Hampshire,252,292,230,272,1046,3,"$12,405",11,$11.86,90.8%,2.0%,3.5%,2.5%,0.3%,15.3%,1.9%,23.5%,3.0%,12.7,46.0%,12.2%,26.79%,"$38,408 ","$58,156 ",19.3%
New Jersey,248,294,231,275,1048,2,"$17,064",3,$16.28,53.0%,17.1%,20.6%,8.6%,0.2%,16.4%,4.0%,32.1%,3.1%,12.1,44.6%,8.4%,43.41%,"$33,730 ","$41,637 ",43.2%
New Mexico,233,274,208,256,971,48,"$9,683",32,$9.97,25.5%,2.1%,59.9%,1.3%,10.4%,13.7%,15.4%,65.6%,8.4%,14.7,33.4%,12.1%,23.15%,"$37,321 ","$57,354 ",19.2%
New York,238,280,222,266,1006,32,"$17,586",1,$17.48,50.8%,19.1%,21.7%,8.0%,0.5%,16.6%,7.3%,20.6%,2.9%,12.9,43.7%,9.8%,20.06%,"$27,944 ","$43,922 ",44.4%
North Carolina,245,286,221,263,1015,22,"$8,468",44,$8.34,53.9%,31.0%,11.1%,2.6%,1.4%,12.4%,7.2%,48.8%,3.7%,14.1,36.9%,9.5%,16.15%,"$24,872 ","$37,764 ",40.0%
