,,,,,Score,,Cost,,,,,,Demographics,,,,,,Teach./Student
2013,4th Math,8th Math,4th Reading,8th Reading,Total,Score Rank,PPF,PPF Rank,$ per point,White,Black,Hispanic,Asian,Nat. Am.,IEP,ELL,At-Risk,Charter %,Ratio
Alabama,233,269,219,257,978,47,"$8,945",41,$9.15,58.3%,34.6%,4.7%,1.3%,0.8%,11.0%,2.4%,54.9%,0.0%,15.3
Alaska,236,282,209,261,988,44,"$15,949",4,$16.14,52.2%,3.6%,5.9%,8.0%,23.0%,13.7%,11.3%,38.4%,5.2%,16.2
Arizona,240,280,213,260,993,41,"$7,894",49,$7.95,42.9%,5.6%,42.2%,3.0%,5.2%,11.7%,7.1%,45.1%,23.8%,21.4
Arkansas,240,278,219,262,999,38,"$9,311",35,$9.32,64.8%,21.5%,9.8%,1.9%,0.7%,13.5%,6.5%,60.5%,3.5%,14.1
California,234,276,213,262,985,45,"$9,212",36,$9.35,26.6%,6.7%,51.4%,11.7%,0.7%,10.7%,,53.7%,9.2%,24.1
Colorado,247,290,227,271,1035,7,"$9,077",39,$8.77,56.8%,4.8%,31.6%,3.1%,0.9%,10.0%,11.8%,39.9%,9.2%,17.4
Connecticut,243,285,230,274,1032,9,"$15,608",6,$15.12,62.0%,13.2%,18.6%,4.4%,0.4%,12.2%,5.4%,34.0%,1.5%,13.1
D.C.,229,265,206,248,948,51,"$21,139",1,$22.30,7.1%,77.8%,12.6%,1.5%,0.1%,16.8%,7.4%,73.0%,44.3%,12.0
Delaware,243,282,226,266,1017,24,"$12,355",13,$12.15,50.1%,32.3%,12.4%,3.4%,0.5%,14.4%,5.3%,47.8%,9.2%,14.5
Florida,242,281,227,266,1016,25,"$8,874",42,$8.73,43.1%,23.0%,28.0%,2.6%,0.4%,13.9%,8.7%,56.0%,11.7%,15.1
Georgia,240,279,222,265,1006,35,"$9,500",31,$9.44,44.4%,37.0%,11.9%,3.4%,0.2%,10.6%,4.9%,57.4%,2.7%,14.9
Hawaii,243,281,215,260,999,38,"$11,761",15,$11.77,14.5%,2.5%,4.5%,69.7%,0.6%,11.0%,10.6%,46.8%,10.7%,15.8
Idaho,241,286,219,270,1016,25,"$7,132",50,$7.02,78.6%,1.0%,15.9%,1.7%,1.4%,9.9%,5.6%,45.0%,6.0%,17.6
Illinois,239,285,219,267,1010,34,"$11,663",17,$11.55,51.3%,18.4%,22.9%,4.2%,0.3%,14.5%,8.3%,44.3%,1.1%,15.7
Indiana,249,288,225,267,1029,13,"$9,483",32,$9.22,73.1%,12.1%,8.4%,1.7%,0.3%,15.8%,4.7%,46.6%,3.0%,18.0
Iowa,246,285,224,269,1024,19,"$9,833",28,$9.60,81.5%,5.1%,8.5%,2.1%,0.5%,13.8%,4.4%,38.9%,0.5%,14.3
Kansas,246,290,223,267,1026,18,"$10,044",27,$9.79,68.0%,7.4%,16.4%,2.7%,1.3%,13.8%,8.1%,47.7%,1.7%,14.0
Kentucky,241,281,224,270,1016,25,"$9,091",38,$8.95,81.9%,10.8%,3.9%,1.5%,0.1%,15.2%,2.4%,56.6%,0.0%,16.0
Louisiana,231,273,210,257,971,48,"$10,795",21,$11.12,48.5%,45.4%,2.6%,1.6%,1.0%,11.9%,1.7%,66.2%,5.2%,14.3
Maine,246,289,225,269,1029,13,"$12,212",14,$11.87,92.5%,1.8%,1.5%,1.2%,0.7%,15.6%,2.5%,43.0%,0.0%,12.3
Maryland,245,287,232,274,1038,6,"$14,082",10,$13.57,43.0%,35.8%,11.6%,5.9%,0.4%,12.1%,5.3%,40.1%,3.0%,14.6
Massachusetts,253,301,232,277,1063,1,"$14,670",9,$13.80,68.0%,8.3%,15.4%,5.6%,0.3%,17.5%,5.8%,34.2%,3.9%,13.9
Michigan,237,280,217,266,1000,37,"$10,378",26,$10.38,69.8%,19.0%,5.8%,2.7%,0.8%,13.7%,3.6%,46.3%,7.3%,17.9
Minnesota,253,295,227,271,1046,4,"$10,677",22,$10.21,73.8%,9.2%,7.2%,6.1%,1.9%,14.7%,5.8%,36.5%,7.2%,15.9
Mississippi,231,271,209,253,964,50,"$8,112",47,$8.41,46.0%,49.9%,2.5%,0.9%,0.2%,13.0%,1.2%,70.6%,0.0%,15.2
Missouri,240,283,222,267,1012,30,"$9,721",30,$9.61,74.7%,17.1%,4.5%,2.0%,0.5%,13.8%,2.4%,44.3%,2.2%,13.8
Montana,244,289,223,272,1028,17,"$10,558",24,$10.27,81.8%,1.0%,3.5%,1.1%,11.1%,11.8%,2.3%,40.8%,0.0%,13.7
Nebraska,243,285,223,269,1020,21,"$11,536",18,$11.31,70.8%,6.7%,16.1%,2.1%,1.5%,14.8%,6.7%,42.6%,0.0%,13.4
Nevada,236,278,214,262,990,43,"$8,290",44,$8.37,38.7%,9.9%,38.7%,7.1%,1.3%,11.0%,19.1%,50.3%,5.5%,20.0
New Hampshire,253,296,232,274,1055,2,"$13,019",11,$12.34,89.8%,2.0%,3.7%,2.8%,0.3%,15.3%,2.0%,25.2%,2.9%,12.7
New Jersey,247,296,229,276,1048,3,"$17,562",3,$16.76,51.5%,16.7%,22.1%,8.9%,0.1%,16.1%,3.8%,32.8%,3.2%,12.7
New Mexico,233,273,206,256,968,49,"$9,742",29,$10.06,26.0%,2.1%,59.4%,1.3%,10.2%,13.8%,15.5%,67.6%,9.5%,15.1
New York,240,282,224,266,1012,30,"$18,335",2,$18.12,49.2%,19.0%,22.4%,0.0%,0.5%,16.6%,7.6%,48.1%,3.5%,12.9
North Carolina,245,286,222,265,1018,23,"$8,195",45,$8.05,53.2%,26.5%,12.6%,2.5%,1.5%,12.4%,6.9%,50.3%,3.8%,15.2
North Dakota,246,291,224,268,1029,13,"$10,557",25,$10.26,83.7%,2.4%,0.1%,1.3%,9.1%,13.9%,3.0%,31.8%,0.0%,11.4
Ohio,246,290,224,269,1029,13,"$10,879",20,$10.57,74.2%,16.3%,3.5%,1.7%,0.1%,14.8%,2.1%,42.6%,9.5%,16.1
Oklahoma,239,276,217,262,994,40,"$8,048",48,$8.10,54.6%,10.2%,12.3%,2.2%,17.7%,14.7%,6.3%,60.5%,1.0%,16.0
Oregon,240,284,219,268,1011,32,"$9,387",34,$9.28,66.3%,2.6%,20.5%,4.5%,1.9%,14.3%,10.5%,50.6%,8.2%,20.3
Pennsylvania,244,290,226,272,1032,9,"$12,807",12,$12.41,71.2%,15.7%,8.3%,3.2%,0.2%,16.5%,2.6%,38.9%,4.4%,13.8
Rhode Island,241,284,223,267,1015,28,"$14,700",8,$14.48,65.2%,8.0%,20.8%,3.1%,0.7%,17.6%,5.3%,42.9%,4.9%,12.8
South Carolina,237,280,214,261,992,42,"$9,143",37,$9.22,53.4%,36.2%,6.4%,1.4%,0.3%,13.8%,5.0%,54.5%,3.6%,16.1
South Dakota,241,287,218,268,1014,29,"$8,825",43,$8.70,79.8%,2.5%,3.5%,1.5%,11.6%,14.3%,3.5%,37.1%,0.0%,13.3
Tennessee,240,278,220,265,1003,36,"$8,122",46,$8.10,67.3%,23.9%,6.1%,1.7%,0.2%,12.1%,3.0%,55.0%,1.6%,14.8
Texas,242,288,217,264,1011,32,"$8,968",40,$8.87,31.2%,12.9%,50.3%,3.5%,0.5%,9.0%,15.0%,50.1%,6.4%,14.7
Utah,243,284,223,270,1020,21,"$6,605",51,$6.48,78.0%,1.5%,15.1%,3.4%,1.3%,12.0%,7.3%,38.2%,8.0%,22.8
Vermont,248,295,228,274,1045,5,"$15,634",5,$14.96,92.8%,1.8%,1.4%,1.6%,0.3%,14.8%,1.6%,36.8%,0.0%,11.6
Virginia,246,288,229,268,1031,12,"$10,676",23,$10.35,54.1%,24.1%,11.4%,6.0%,0.3%,13.0%,7.0%,36.7%,0.2%,17.6
Washington,246,290,225,272,1033,8,"$9,481",33,$9.18,62.9%,4.8%,18.0%,9.1%,1.7%,12.3%,8.7%,40.1%,0.0%,19.4
West Virginia,237,274,215,257,983,46,"$11,727",16,$11.93,92.0%,5.2%,1.1%,0.7%,0.1%,15.9%,0.6%,51.5%,0.0%,13.9
Wisconsin,245,289,221,268,1023,20,"$11,439",19,$11.18,74.4%,9.9%,9.3%,3.6%,1.3%,14.3%,5.0%,39.3%,9.1%,15.1
Wyoming,247,288,226,271,1032,9,"$15,392",7,$14.91,81.0%,1.2%,12.3%,0.9%,3.3%,17.1%,2.9%,37.1%,0.8%,12.5
Mean,242,284,221,266,1013,,"$11,120 ",,$10.97 ,61.1%,15.0%,14.5%,4.5%,2.4%,13.7%,5.9%,46.5%,5.1%,15.4
Range,24,36,26,29,115,,"$14,534 ",,$15.82 ,85.7%,76.8%,59.3%,69.7%,22.9%,8.6%,18.5%,47.8%,44.3%,12.7
Standard Devation,5.44,7.23,6.50,5.93,23.74,,"$3,034.63 ",,$3.01 ,19.6%,15.2%,13.5%,9.5%,4.6%,2.1%,3.8%,10.2%,7.1%,2.73
