Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
100 FR,44.89,44.89,23,842,2018 Winter Juniors (SCY),2018 Bulldog Invitational Last,US,UN,2/25/2018
100 FR,45.66,45.66,22,801,"""AAAA""",2017 HI Swimming Senior SCY,HI,UN,11/11/2017
100 FR,45.85r,45.85,21,791,"""AAAA""",2016 A3 Performance Invitation,HI,UN,11/19/2016
100 FR,47.11,47.11,22,725,"""AAA""","Hawaii, Minnesota, Drury",US,UN,1/6/2018
100 FR,47.26,47.26,22,717,"""AAA""",2017 HI Senior Meet,HI,UN,10/21/2017
100 FR,47.45,47.45,22,708,"""AAA""",Hawaii vs Purdue,US,UN,1/2/2018
100 FR,47.71,47.71,19,695,"""AAA""",2014 Patriot Invitational,US,UN,11/22/2014
100 FR,48.18,48.18,19,671,"""AAA""",2014 Patriot Invitational,US,UN,11/22/2014
200 FR,1:36.19,1:36.19,23,906,2017 US Open,2018 Bulldog Invitational Last,US,UN,2/24/2018
200 FR,1:36.36,1:36.36,23,902,2017 US Open,2018 Bulldog Invitational Last,US,UN,2/25/2018
200 FR,1:36.65,1:36.65,23,893,2017 US Open,2018 MPSF Swim & Dive Champs,US,UN,2/16/2018
200 FR,1:36.73,1:36.73,22,891,2017 US Open,2017 MPSF Swim & Dive Champs,US,UN,2/17/2017
200 FR,1:36.84,1:36.84,23,888,2017 US Open,2018 Bulldog Invitational Last,US,UN,2/24/2018
200 FR,1:37.06,1:37.06,23,882,2017 US Open,2018 MPSF Swim & Dive Champs,US,UN,2/16/2018
200 FR,1:37.22r,1:37.22,23,878,2017 US Open,2018 MPSF Swim & Dive Champs,US,UN,2/14/2018
200 FR,1:37.51,1:37.51,22,869,2019 Summer Juniors (LCM),2017 MPSF Swim & Dive Champs,US,UN,2/17/2017
200 FR,1:37.84,1:37.84,21,860,2019 Summer Juniors (LCM),2016 MPSF Swim & Dive Champs,HI,UN,2/19/2016
200 FR,1:37.86,1:37.86,20,860,2019 Summer Juniors (LCM),2015 CCSA Swimming and Diving,US,UN,2/20/2015
200 FR,1:38.10,1:38.10,21,853,2019 Summer Juniors (LCM),2016 A3 Performance Invitation,HI,UN,11/18/2016
200 FR,1:38.13,1:38.13,20,852,2019 Summer Juniors (LCM),2015 CCSA Swimming and Diving,US,UN,2/20/2015
200 FR,1:38.30,1:38.30,21,848,2019 Summer Juniors (LCM),2016 A3 Performance Invitation,HI,UN,11/18/2016
200 FR,1:38.58,1:38.58,21,840,2019 Summer Juniors (LCM),2016 MPSF Swim & Dive Champs,HI,UN,2/19/2016
200 FR,1:39.07,1:39.07,22,827,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,HI,UN,11/17/2017
200 FR,1:39.08,1:39.08,20,826,2018 Winter Juniors (SCY),2015 A3 Performance Invitation,HI,UN,11/20/2015
200 FR,1:39.31,1:39.31,20,820,2018 Winter Juniors (SCY),2015 A3 Performance Invitation,HI,UN,11/20/2015
200 FR,1:39.34,1:39.34,22,819,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,HI,UN,11/17/2017
200 FR,1:39.79,1:39.79,21,807,2018 Winter Juniors (SCY),2016 HI Swimming Senior SCY Ch,HI,UN,11/13/2016
200 FR,1:40.35,1:40.35,22,792,"""AAAA""",Hawaii vs Purdue,US,UN,1/2/2018
200 FR,1:41.08,1:41.08,19,773,2019 Futures,2014 Patriot Invitational,US,UN,11/21/2014
200 FR,1:41.24,1:41.24,22,768,2019 Futures,"Hawaii, Minnesota, Drury",US,UN,1/6/2018
200 FR,1:41.57,1:41.57,19,760,2019 Futures,2014 Patriot Invitational,US,UN,11/21/2014
500 FR,4:20.86,4:20.86,22,902,2017 US Open,2017 MPSF Swim & Dive Champs,US,UN,2/16/2017
500 FR,4:21.39,4:21.39,21,896,2018 Winter Nationals (LCM),2016 MPSF Swim & Dive Champs,HI,UN,2/18/2016
500 FR,4:21.92,4:21.92,22,891,2017 US Open,2017 MPSF Swim & Dive Champs,US,UN,2/16/2017
500 FR,4:22.17,4:22.17,20,888,2018 Winter Nationals (LCM),2015 CCSA Swimming and Diving,US,UN,2/19/2015
500 FR,4:22.50,4:22.50,23,885,2017 US Open,2018 MPSF Swim & Dive Champs,US,UN,2/15/2018
500 FR,4:23.84,4:23.84,23,871,2019 Summer Juniors (LCM),2018 MPSF Swim & Dive Champs,US,UN,2/15/2018
500 FR,4:25.18,4:25.18,20,858,2018 Winter Nationals (LCM),2015 CCSA Swimming and Diving,US,UN,2/19/2015
500 FR,4:25.79,4:25.79,21,851,2018 Winter Nationals (LCM),2016 A3 Performance Invitation,HI,UN,11/17/2016
