Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,23.73,23.73,21,793,2019 Futures,2018 SEC Swimming & Diving Cha,GU,UN,2/15/2018
50 FR,23.85,23.85,20,781,2019 Futures,Art Adamson Invitational,GU,UN,11/17/2016
50 FR,24.08,24.08,21,758,2019 Futures,Art Adamson Invitational Worki,GU,UN,11/16/2017
50 FR,24.09r,24.09,21,757,2019 Futures,Texas A&M v Missouri 2018,GU,UN,1/6/2018
50 FR,24.29r,24.29,20,738,"""AAA""",UT Women vs. Texas A&M,GU,UN,11/3/2016
50 FR,24.42,24.42,20,726,"""AAA""",Texas A&M vs. North Texas Wome,GU,UN,1/11/2017
50 FR,24.45,24.45,18,723,"""AAA""",Art Adamson Invitational,CC,UN,11/20/2014
50 FR,24.52,24.52,14,765,"""AAAA""",2011 CC CIF Central Section D1 Championships,CC,UN,5/19/2011
50 FR,24.62,24.62,16,721,"""AAA""",2013 NCSA Junior Swim,CC,UN,3/12/2013
50 FR,24.80,24.80,21,689,"""AA""",SMU vs A&M,GU,UN,1/9/2018
50 FR,24.80,24.80,16,704,"""AAA""",2012 CA Winter CA NV Sectional,CC,RA,12/12/2012
50 FR,24.94,24.94,15,694,"""AAA""",2012 CC CIF Central Section Div I Championships,CC,UN,5/17/2012
50 FR,25.12,25.12,14,708,"""AAA""",2011 CC CIF Central Section D1 Championships,CC,UN,5/19/2011
50 FR,25.12,25.12,16,674,"""AAA""",2013 CC Short Course Junior Olympics,CC,RA,2/15/2013
50 FR,25.13,25.13,14,707,"""AAA""",2010 CA Winter CA NV Sectional,CC,RA,12/17/2010
50 FR,25.16,25.16,15,674,"""AAA""",2012 CC CIF Central Section Div I Championships,CC,UN,5/17/2012
50 FR,25.18,25.18,14,703,"""AAA""",2011 CA SCS Senior Meet,CC,UN,1/14/2011
50 FR,25.20,25.20,16,667,"""AAA""",2013 CC Short Course Junior Olympics,CC,RA,2/15/2013
50 FR,25.45,25.45,15,647,"""AAA""",2011 CA Canyons Cranberry Clas,CC,RA,11/18/2011
50 FR,25.49,25.49,17,625,"""AA""",2013 CC TNT SCY B Format Meet,CC,RA,10/26/2013
50 FR,25.60,25.60,15,633,"""AAA""",2012 SI Senior Classic,CC,RA,2/17/2012
50 FR,25.67,25.67,15,627,"""AAA""",2012 SI Senior Classic,CC,RA,2/17/2012
50 FR,25.67,25.67,14,658,"""AAA""",2010 MN Grand Prix,CC,RA,11/12/2010
50 FR,25.67,25.67,16,624,"""AA""",2013 CC FDST Sr Prelims/Finals Meet,CC,RA,1/25/2013
50 FR,25.79,25.79,15,616,"""AA""",2011 CC TNT Winterfest ABC  Age Group,CC,RA,12/10/2011
50 FR,25.79,25.79,13,703,"""AAA""",2010 CC CCS Junior Olympics,CC,RA,2/12/2010
50 FR,25.82,25.82,16,610,"""AA""",2013 CC FDST Sr Prelims/Finals Meet,CC,RA,1/25/2013
50 FR,25.83,25.83,13,700,"""AAA""",2009 CA - Speedo CA-NV Winter,CC,UN,12/18/2009
50 FR,25.94,25.94,15,602,"""AA""",2011 CA SBSC IMX Challenge Swi,CC,RA,10/15/2011
50 FR,26.02,26.02,17,578,"""AA""",2013 CA Kevin B. Perry Senior,CC,RA,11/8/2013
50 FR,26.03,26.03,14,625,"""AAA""",2011 CC HSC Fall Classic,CC,RA,9/10/2011
50 FR,26.11,26.11,12,719,"""AAA""",2009 CC SC Junior Olympics,CC,RTA,2/19/2009
50 FR,26.18,26.18,13,668,"""AAA""",2010 CC CCS Junior Olympics,CC,RA,2/12/2010
50 FR,26.23,26.23,13,664,"""AAA""",2010 CC Juanita Allington Memorial Meet,CC,RA,3/4/2010
50 FR,26.37,26.37,13,651,"""AA""",2009 CA PUMA Cancer Awareness & Coast,CC,UN,10/31/2009
50 FR,26.42,26.42,13,647,"""AA""",2009 CA Canyons Aquatic Cranbe,CC,UN,11/20/2009
50 FR,26.43r,26.43,12,693,"""AAA""",2009 CC SC Junior Olympics,CC,RTA,2/21/2009
50 FR,26.44,26.44,14,589,"""AA""",2010 CC TNT Octoberfest ABC,CC,RA,10/9/2010
50 FR,26.61,26.61,12,678,"""AAA""",2008 CC TNT WINTERFEST ABC,CC,RTA,12/6/2008
50 FR,26.61,26.61,12,678,"""AAA""",2008 CA SCS WAG SBSC at CERR,CC,RTA,12/12/2008
50 FR,26.63,26.63,12,677,"""AAA""",2009 CC All Star Selection,CC,RTA,1/10/2009
50 FR,26.69,26.69,13,623,"""AA""",2010 CC Hanford Fall Classic,CC,RA,9/11/2010
50 FR,26.76,26.76,12,666,"""AAA""",2009 CC Hanford Fall Classic,CC,RTA,9/12/2009
50 FR,26.78,26.78,12,665,"""AAA""",2009 PC ALMA SCY FARW SC CHMP,CC,RTA,4/2/2009
50 FR,26.79,26.79,12,664,"""AAA""",2009 PC BST SCY INVITE,CC,RTA,6/26/2009
50 FR,26.82,26.82,13,612,"""AA""",2009 CC TNT Winterfest Meet,CC,UN,12/5/2009
50 FR,26.85,26.85,12,659,"""AAA""",2008 CA 2008 SLO Gobbler Class,CC,RTA,11/21/2008
50 FR,26.89,26.89,12,656,"""AAA""",2009 CC SC Junior Olympics,CC,RTA,2/19/2009
50 FR,27.04,27.04,12,644,"""AAA""",2009 SN All-Star Tri-Meet Invitat,CC,RTA,1/24/2009
50 FR,27.07,27.07,12,642,"""AAA""",2008 CA PUMA Breast Cancer Awa,CC,RTA,10/25/2008
50 FR,27.10,27.10,11,725,"""AAA""",2008 CC 18&Under JO's,CC,RTA,2/15/2008
50 FR,27.12,27.12,11,724,"""AAA""",2008 CC 18&Under JO's,CC,RTA,2/15/2008
50 FR,27.20,27.20,13,579,"""AA""",2010 CC All Star Qualifying Meet,CC,UN,1/9/2010
50 FR,27.21,27.21,12,631,"""AA""",2009 CC Riptide Splash Into Summer Swi,CC,RTA,5/30/2009
50 FR,27.25,27.25,12,628,"""AA""",2009 CC Dennis Penner High Point Meet,CC,RTA,4/18/2009
50 FR,27.34,27.34,11,706,"""AAA""",2008 PC FAR WESTERN,CC,RTA,4/3/2008
50 FR,27.44r,27.44,12,613,"""AA""",2009 CC Dennis Penner High Point Meet,CC,RTA,4/18/2009
50 FR,27.52,27.52,12,607,"""AA""",2008 CC TNT OCTOBERFEST,CC,RTA,10/11/2008
50 FR,27.57,27.57,11,688,"""AA""",2008 CC Juanita Allington Sr Qual,CC,RTA,2/28/2008
50 FR,27.70,27.70,11,678,"""AA""",2008 CC Dennis Penner Memorial High Point,CC,RTA,4/12/2008
50 FR,27.71,27.71,11,678,"""AA""",2008 CC All Star Meet,CC,RTA,1/26/2008
50 FR,27.85,27.85,11,667,"""AA""",2008 CC Short Course ABC Age Group,CC,RTA,3/8/2008
50 FR,28.09,28.09,11,649,"""AA""",2008 CC CCS All Star Selection Meet,CC,RTA,1/12/2008
50 FR,28.11,28.11,11,647,"""AA""",2008 PC Bishop Invite,CC,RTA,6/20/2008
50 FR,28.30,28.30,11,633,"""A""",2008 CC PAC SUMMERS END SC,CC,RTA,9/20/2008
50 FR,28.46,28.46,10,725,"""AAAA""",2007 PC PLS FW-SC,CC,RTA,3/29/2007
50 FR,28.66r,28.66,10,712,"""AAA""",2007 CC SC JO's,CC,RTA,3/17/2007
50 FR,28.73,28.73,10,707,"""AAA""",2007 CC Hanford Fall Classic,CC,RTA,9/15/2007
50 FR,28.77,28.77,10,704,"""AAA""",2007 CA EAST Fall Festival-Cor,CC,RTA,9/22/2007
50 FR,28.79,28.79,11,596,"""A""",2007 CA PUMA Pumpkin,CC,RTA,10/27/2007
50 FR,28.85,28.85,10,699,"""AAA""",2007 PC PLS FW-SC,CC,RTA,3/29/2007
50 FR,29.16r,29.16,10,678,"""AAA""",2007 PC PLS FW-SC,CC,RTA,4/1/2007
50 FR,29.21,29.21,17,317,"""BB""",2013 Speedo Winter Jr Nats Time Trials,CC,RA,12/12/2013
50 FR,29.53,29.53,10,653,"""AAA""",2007 CC SC JO's,CC,RTA,3/16/2007
50 FR,29.63,29.63,10,646,"""AAA""",2007 CC SC JO's,CC,RTA,3/16/2007
50 FR,29.87,29.87,10,630,"""AA""",2007 PC BST,CC,RTA,6/22/2007
50 FR,29.90,29.90,10,628,"""AA""",2006 CC TNT Short Course ABC Age Group,CC,RTA,12/2/2006
50 FR,29.95,29.95,10,625,"""AA""",2007 SI All Star TRI Meet,CC,RTA,1/20/2007
50 FR,30.19,30.19,10,609,"""AA""",2007 CC Dennis Penner Memorial Hi,CC,RTA,4/14/2007
50 FR,30.36,30.36,10,598,"""AA""",2007 CC All Star Selection Meet,CC,RTA,1/13/2007
50 FR,30.75,30.75,10,573,"""AA""",2006 CC TNT OCTOBERFEST Short Course A,CC,RTA,10/14/2006
50 FR,31.01,31.01,10,557,"""AA""",2006 CA SLO Gobbler,CC,RTA,11/17/2006
