Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,20.15r,20.15,23,876,2017 US Open,UF vs. Indiana & Texas,FL,UN,10/21/2017
50 FR,20.46,20.46,24,845,2019 Summer Juniors (LCM),2018 FL GSC Holiday Classic,FL,UN,12/1/2018
50 FR,20.68r,20.68,19,823,2018 Winter Juniors (SCY),2013 Hokie Fall Invitational,US,UN,11/21/2013
50 FR,21.11,21.11,19,781,"""AAAA""",2013 Hokie Fall Invitational,US,UN,11/21/2013
100 FR,43.50,43.50,23,918,2017 US Open,UF vs. Indiana & Texas,FL,UN,10/20/2017
100 FR,44.25,44.25,22,876,2019 Summer Juniors (LCM),Texas A&M v Florida,FL,UN,11/5/2016
100 FR,44.34r,44.34,22,871,2019 Summer Juniors (LCM),Texas A&M v Florida,FL,UN,11/5/2016
100 FR,44.56,44.56,19,859,2019 Summer Juniors (LCM),2013 Hokie Fall Invitational,US,UN,11/21/2013
100 FR,44.85,44.85,19,844,2018 Winter Juniors (SCY),OSU-VATECH-CSU-DENISON,US,UN,11/1/2013
100 FR,44.87,44.87,23,843,2018 Winter Juniors (SCY),Alabama v Florida,FL,UN,10/25/2017
100 FR,45.25,45.25,19,822,2018 Winter Juniors (SCY),2013 Hokie Fall Invitational,US,UN,11/21/2013
100 FR,45.93,45.93,19,786,2019 Futures,TN vs VT and MO,US,UN,1/11/2014
200 FR,1:31.98r,1:31.98,24,1029,2019 Summer Nationals (LCM),2018 NCAA Division 1 Men's Swi,FL,UN,3/21/2018
200 FR,1:32.14,1:32.14,22,1024,2019 Summer Nationals (LCM),2016 NCAA D1 Mens,FL,UN,3/25/2016
200 FR,1:32.44r,1:32.44,23,1015,2019 Summer Nationals (LCM),2017 NCAA DI Men's,FL,UN,3/22/2017
200 FR,1:32.51,1:32.51,23,1013,2019 Summer Nationals (LCM),2017 NCAA DI Men's,FL,UN,3/24/2017
200 FR,1:32.99,1:32.99,22,999,2019 Summer Nationals (LCM),2016 NCAA D1 Mens,FL,UN,3/25/2016
200 FR,1:33.13,1:33.13,24,995,2019 Summer Nationals (LCM),2018 FL GSC Holiday Classic,FL,UN,11/30/2018
200 FR,1:33.32r,1:33.32,24,989,2019 Summer Nationals (LCM),2018 SEC Swimming & Diving Cha,FL,UN,2/14/2018
200 FR,1:33.39,1:33.39,23,987,2019 Summer Nationals (LCM),2017 NCAA DI Men's,FL,UN,3/24/2017
200 FR,1:33.78r,1:33.78,23,976,2019 Summer Nationals (LCM),Purdue Invite 2017,FL,UN,11/17/2017
200 FR,1:33.95,1:33.95,23,971,2019 Summer Nationals (LCM),UF vs. AUB 012018,FL,UN,1/20/2018
200 FR,1:34.26,1:34.26,20,962,2017 US Open,2014 ACC Men's Championship,US,UN,2/26/2014
200 FR,1:34.41,1:34.41,23,957,2019 Summer Nationals (LCM),2017 Last Chance Meet,FL,UN,2/25/2017
200 FR,1:34.59,1:34.59,23,952,2019 Summer Nationals (LCM),UF vs. Indiana & Texas,FL,UN,10/20/2017
200 FR,1:34.81,1:34.81,21,946,2019 Summer Nationals (LCM),UF vs. South Carolina,FL,UN,11/6/2015
200 FR,1:34.92,1:34.92,20,943,2017 US Open,2014 ACC Men's Championship,US,UN,2/26/2014
200 FR,1:35.06,1:35.06,19,939,2017 US Open,2013 Hokie Fall Invitational,US,UN,11/21/2013
200 FR,1:35.10r,1:35.10,22,937,2019 Summer Nationals (LCM),2016 Georgia Tech Fall Invitat,FL,UN,11/18/2016
200 FR,1:35.30,1:35.30,21,932,2019 Summer Nationals (LCM),Ohio State Invitational,FL,UN,11/21/2015
200 FR,1:35.76,1:35.76,23,919,2019 Summer Nationals (LCM),University of Florida vs. Tenn,FL,UN,1/28/2017
200 FR,1:35.79,1:35.79,20,918,2017 US Open,2014 NCAA Men's DiI,US,UN,3/27/2014
200 FR,1:36.47,1:36.47,24,899,2017 US Open,2018 FL GSC Holiday Classic,FL,UN,11/30/2018
200 FR,1:37.45,1:37.45,23,871,2017 US Open,2017 Last Chance Meet,FL,UN,2/25/2017
200 FR,1:37.63,1:37.63,19,866,2019 Summer Juniors (LCM),OSU-VATECH-CSU-DENISON,US,UN,11/1/2013
200 FR,1:38.99,1:38.99,19,829,2018 Winter Juniors (SCY),2013 Hokie Fall Invitational,US,UN,11/21/2013
200 FR,1:39.20,1:39.20,24,823,2018 Winter Juniors (SCY),2018 FL Patriot Aquatics Winter Invite,FL,GSC,11/11/2018
200 FR,1:39.92,1:39.92,19,804,2018 Winter Juniors (SCY),TN vs VT and MO,US,UN,1/11/2014
500 FR,4:15.43,4:15.43,21,958,2019 Summer Nationals (LCM),Ohio State Invitational,FL,UN,11/20/2015
500 FR,4:18.15,4:18.15,20,930,2017 US Open,2014 ACC Men's Championship,US,UN,2/26/2014
500 FR,4:20.99,4:20.99,20,900,2019 Summer Nationals (LCM),2014 NCAA Men's DiI,US,UN,3/27/2014
500 FR,4:21.55,4:21.55,20,894,2018 Winter Nationals (LCM),2014 ACC Men's Championship,US,UN,2/26/2014
500 FR,4:22.64,4:22.64,20,883,2018 Winter Nationals (LCM),The 2014 Virginia Tech Invitat,US,UN,2/8/2014
500 FR,4:25.04,4:25.04,23,859,2019 Summer Juniors (LCM),2017 All Florida Invitational,FL,UN,9/22/2017
500 FR,4:29.75,4:29.75,23,812,2018 Winter Juniors (SCY),2017 All Florida Invitational,FL,UN,9/22/2017
100 BK,47.51,47.51,22,957,2017 US Open,2016 Georgia Tech Fall Invitat,FL,UN,11/18/2016
100 BK,47.51,47.51,24,957,2017 US Open,2018 Last Chance Meet,FL,UN,2/24/2018
100 BK,48.26,48.26,22,920,"""AAAA""",Texas A&M v Florida,FL,UN,11/5/2016
100 BK,50.23,50.23,22,825,2018 Winter Juniors (SCY),2016 Georgia Tech Fall Invitat,FL,UN,11/18/2016
200 BK,1:42.70,1:42.70,23,996,2019 Summer Nationals (LCM),Purdue Invite 2017,FL,UN,11/18/2017
200 BK,1:42.99,1:42.99,22,989,2019 Summer Nationals (LCM),2016 Georgia Tech Fall Invitat,FL,UN,11/19/2016
200 BK,1:42.99,1:42.99,22,989,2019 Summer Nationals (LCM),2016 Georgia Tech Fall Invitat,FL,UN,11/19/2016
200 BK,1:42.99,1:42.99,22,989,2019 Summer Nationals (LCM),2016 Georgia Tech Fall Invitat,FL,UN,11/19/2016
200 BK,1:43.87,1:43.87,23,968,2019 Summer Nationals (LCM),Purdue Invite 2017,FL,UN,11/18/2017
200 BK,1:44.10,1:44.10,23,963,2019 Summer Nationals (LCM),UF vs. AUB 012018,FL,UN,1/20/2018
200 BK,1:48.47,1:48.47,22,862,"""AAAA""",Florida State University vs Un,FL,UN,10/13/2016
200 BK,1:49.15,1:49.15,24,847,"""AAAA""",2018 FL Patriot Aquatics Winter Invite,FL,GSC,11/11/2018
200 BK,1:51.39,1:51.39,23,797,2019 Futures,2017 All Florida Invitational,FL,UN,9/24/2017
100 BR,55.85,55.85,23,861,2018 Winter Nationals (LCM),UF vs. FAU 010618,FL,UN,1/6/2018
100 BR,56.26,56.26,23,845,"""AAAA""",2017 All Florida Invitational,FL,UN,9/23/2017
100 BR,56.52,56.52,23,834,"""AAAA""",2017 All Florida Invitational,FL,UN,9/23/2017
100 FL,44.49,44.49,24,1080,2019 Summer Nationals (LCM),2018 NCAA Division 1 Men's Swi,FL,UN,3/23/2018
100 FL,45.09,45.09,24,1048,2019 Summer Nationals (LCM),2018 NCAA Division 1 Men's Swi,FL,UN,3/23/2018
